tile_id;time;score;lower_left_lon;lower_left_lat;upper_right_lon;upper_right_lat
31830224;2020-01-27;1658;7.4189301;46.9447843;7.4202432;46.9456841
31838204;2020-01-27;1384;7.4189298;46.9456838;7.4202429;46.9465836
31838203;2020-01-27;1458;7.4202436;46.9447846;7.4215567;46.9456843
31846184;2020-01-27;1232;7.4202432;46.9456841;7.4215564;46.9465838
31854166;2020-01-27;1154;7.4202429;46.9465836;7.4215561;46.9474833
31846183;2020-01-27;1758;7.421557;46.9447848;7.4228702;46.9456845
31854165;2020-01-27;1458;7.4215567;46.9456843;7.4228699;46.946584
31862148;2020-01-27;1607;7.4215564;46.9465838;7.4228696;46.9474835
31870132;2020-01-27;1686;7.4215561;46.9474833;7.4228694;46.948383
31878117;2020-01-27;1261;7.4215558;46.9483828;7.4228691;46.9492826
31854164;2020-01-27;2347;7.4228705;46.944785;7.4241837;46.9456847
31862147;2020-01-27;2026;7.4228702;46.9456845;7.4241834;46.9465842
31870131;2020-01-27;2075;7.4228699;46.946584;7.4241832;46.9474837
31878116;2020-01-27;4899;7.4228696;46.9474835;7.4241829;46.9483832
31886102;2020-01-27;2611;7.4228694;46.948383;7.4241826;46.9492827
31862146;2020-01-27;2128;7.4241839;46.9447852;7.4254972;46.9456848
31870130;2020-01-27;2260;7.4241837;46.9456847;7.4254969;46.9465844
31878115;2020-01-27;2322;7.4241834;46.9465842;7.4254967;46.9474839
31886101;2020-01-27;3707;7.4241832;46.9474837;7.4254964;46.9483834
31894088;2020-01-27;3782;7.4241829;46.9483832;7.4254962;46.9492829
31878114;2020-01-27;2053;7.4254972;46.9456848;7.4268104;46.9465845
31886100;2020-01-27;2390;7.4254969;46.9465844;7.4268102;46.947484
31894087;2020-01-27;3512;7.4254967;46.9474839;7.42681;46.9483836
31902075;2020-01-27;3975;7.4254964;46.9483834;7.4268098;46.9492831
31894086;2020-01-27;3100;7.4268104;46.9465845;7.4281237;46.9474842
31902074;2020-01-27;4562;7.4268102;46.947484;7.4281235;46.9483837
31902073;2020-01-27;3807;7.4281239;46.9465847;7.4294373;46.9474843
31910062;2020-01-27;4371;7.4281237;46.9474842;7.4294371;46.9483838
