tile_id;time;score;lower_left_lon;lower_left_lat;upper_right_lon;upper_right_lat
17705321;2020-01-27;0;5.9558843;46.1281272;5.9571534;46.1290437
17711273;2020-01-27;0;5.9558599;46.1290266;5.957129;46.1299431
17717226;2020-01-27;0;5.9558354;46.129926;5.9571045;46.1308425
17723180;2020-01-27;0;5.9558109;46.1308254;5.95708;46.1317418
17729135;2020-01-27;0;5.9557864;46.1317248;5.9570556;46.1326412
17735091;2020-01-27;0;5.9557619;46.1326242;5.9570311;46.1335406
17711272;2020-01-27;0;5.9571779;46.1281443;5.958447;46.1290607
17717225;2020-01-27;0;5.9571534;46.1290437;5.9584226;46.1299601
17723179;2020-01-27;0;5.957129;46.1299431;5.9583981;46.1308595
17729134;2020-01-27;0;5.9571045;46.1308425;5.9583737;46.1317588
17735090;2020-01-27;0;5.95708;46.1317418;5.9583492;46.1326582
17741047;2020-01-27;0;5.9570556;46.1326412;5.9583248;46.1335576
17747005;2020-01-27;0;5.9570311;46.1335406;5.9583003;46.134457
17723178;2020-01-27;0;5.958447;46.1290607;5.9597162;46.129977
17729133;2020-01-27;0;5.9584226;46.1299601;5.9596917;46.1308764
17735089;2020-01-27;0;5.9583981;46.1308595;5.9596673;46.1317758
17741046;2020-01-27;0;5.9583737;46.1317588;5.9596429;46.1326752
17747004;2020-01-27;0;5.9583492;46.1326582;5.9596185;46.1335746
17752963;2020-01-27;0;5.9583248;46.1335576;5.959594;46.134474
17729132;2020-01-27;0;5.9597406;46.1290776;5.9610098;46.129994
17735088;2020-01-27;0;5.9597162;46.129977;5.9609854;46.1308934
17741045;2020-01-27;0;5.9596917;46.1308764;5.960961;46.1317928
17747003;2020-01-27;0;5.9596673;46.1317758;5.9609366;46.1326922
17752962;2020-01-27;0;5.9596429;46.1326752;5.9609122;46.1335916
17758922;2020-01-27;0;5.9596185;46.1335746;5.9608877;46.134491
17764883;2020-01-27;0;5.959594;46.134474;5.9608633;46.1353904
17741044;2020-01-27;0;5.9610098;46.129994;5.962279;46.1309104
17747002;2020-01-27;0;5.9609854;46.1308934;5.9622546;46.1318098
