tile_id;time;score;lower_left_lon;lower_left_lat;upper_right_lon;upper_right_lat
31916824;2020-01-27;0;9.0086624;45.8327613;9.0099747;45.8336427
31916823;2020-01-27;0;9.0099232;45.831844;9.0112355;45.8327253
31924814;2020-01-27;0;9.0099489;45.8327433;9.0112613;45.8336246
31916822;2020-01-27;0;9.0111839;45.8309266;9.0124962;45.8318079
31924813;2020-01-27;0;9.0112097;45.831826;9.012522;45.8327073
31932805;2020-01-27;0;9.0112355;45.8327253;9.0125479;45.8336066
31924812;2020-01-27;0;9.0124704;45.8309086;9.0137828;45.8317899
31932804;2020-01-27;0;9.0124962;45.8318079;9.0138086;45.8326892
31940797;2020-01-27;0;9.012522;45.8327073;9.0138344;45.8335885
31948791;2020-01-27;0;9.0125479;45.8336066;9.0138603;45.8344879
31956786;2020-01-27;0;9.0125737;45.8345059;9.0138861;45.8353872
31924811;2020-01-27;0;9.0137311;45.8299912;9.0150434;45.8308724
31932803;2020-01-27;0;9.0137569;45.8308905;9.0150693;45.8317718
31940796;2020-01-27;0;9.0137828;45.8317899;9.0150951;45.8326711
31948790;2020-01-27;0;9.0138086;45.8326892;9.015121;45.8335705
31956785;2020-01-27;0;9.0138344;45.8335885;9.0151469;45.8344698
31964781;2020-01-27;0;9.0138603;45.8344879;9.0151727;45.8353692
31972778;2020-01-27;0;9.0138861;45.8353872;9.0151986;45.8362685
31924810;2020-01-27;0;9.0149917;45.8290738;9.0163041;45.829955
31932802;2020-01-27;0;9.0150176;45.8299731;9.0163299;45.8308544
31940795;2020-01-27;0;9.0150434;45.8308724;9.0163558;45.8317537
31948789;2020-01-27;0;9.0150693;45.8317718;9.0163817;45.832653
31956784;2020-01-27;0;9.0150951;45.8326711;9.0164076;45.8335524
31964780;2020-01-27;66;9.015121;45.8335705;9.0164335;45.8344517
31972777;2020-01-27;44;9.0151469;45.8344698;9.0164593;45.8353511
31980775;2020-01-27;0;9.0151727;45.8353692;9.0164852;45.8362504
31988774;2020-01-27;0;9.0151986;45.8362685;9.0165111;45.8371498
31932801;2020-01-27;0;9.0162782;45.8290557;9.0175905;45.8299369
31940794;2020-01-27;0;9.0163041;45.829955;9.0176164;45.8308363
31948788;2020-01-27;0;9.0163299;45.8308544;9.0176423;45.8317356
31956783;2020-01-27;0;9.0163558;45.8317537;9.0176682;45.8326349
31964779;2020-01-27;330;9.0163817;45.832653;9.0176941;45.8335343
31972776;2020-01-27;733;9.0164076;45.8335524;9.01772;45.8344336
31980774;2020-01-27;541;9.0164335;45.8344517;9.017746;45.835333
31988773;2020-01-27;86;9.0164593;45.8353511;9.0177719;45.8362323
31996773;2020-01-27;0;9.0164852;45.8362504;9.0177978;45.8371317
32004774;2020-01-27;0;9.0165111;45.8371498;9.0178237;45.838031
32012776;2020-01-27;0;9.016537;45.8380491;9.0178496;45.8389304
31940793;2020-01-27;0;9.0175646;45.8290376;9.018877;45.8299188
31948787;2020-01-27;0;9.0175905;45.8299369;9.0189029;45.8308181
31956782;2020-01-27;0;9.0176164;45.8308363;9.0189289;45.8317175
31964778;2020-01-27;0;9.0176423;45.8317356;9.0189548;45.8326168
31972775;2020-01-27;502;9.0176682;45.8326349;9.0189807;45.8335162
31980773;2020-01-27;1112;9.0176941;45.8335343;9.0190066;45.8344155
31988772;2020-01-27;922;9.01772;45.8344336;9.0190326;45.8353149
31996772;2020-01-27;323;9.017746;45.835333;9.0190585;45.8362142
32004773;2020-01-27;0;9.0177719;45.8362323;9.0190844;45.8371136
32012775;2020-01-27;0;9.0177978;45.8371317;9.0191103;45.8380129
32020778;2020-01-27;23;9.0178237;45.838031;9.0191363;45.8389122
32028782;2020-01-27;205;9.0178496;45.8389304;9.0191622;45.8398116
32036787;2020-01-27;625;9.0178755;45.8398297;9.0191881;45.8407109
31940792;2020-01-27;0;9.0188252;45.8281201;9.0201376;45.8290013
31948786;2020-01-27;0;9.0188511;45.8290195;9.0201635;45.8299007
